absins	absence
kumpetitiv	competitive
kumpetitør	competitor
kumpét	compete
kumpéútør	computer
kumpiné	company
kumplán	complain
kumplánt	complaint
kumpleks	complex
kumpleksité	complexity
kumplét	complete
kumplétlé	completely
kumplí	comply
kumplíins	compliance
kumpónint	component
kumpóz	compose
kumpríz	comprise
Kunádéin	Canadian
kundem	condemn
kundišin	condition
kundukt	conduct
kunekšin	connection
kunekt	connect
kunfes	confess
kunfešin	confession
kunféúz	confuse
kunféúžin	confusion
kunfirm	confirm
kunflikt	conflict
kunfrunt	confront
kungrešinul	congressional
kunklúd	conclude
kunklúžin	conclusion
kunsekéøtiv	consecutive
kunsensis	consensus
kunsent	consent
kunsepšin	conception
kunséd	concede
kunsév	conceive
kunsidørášin	consideration
kunsidør	consider
kunsidøriblé	considerably
kunsidøribul	considerable
kunsist	consist
kunsistint	consistent
kunsistintlé	consistently
kunsørnd	concerned
kunsørn	concern
kunsørning	concerning
kunsørvitiv	conservative
kunspirisé	conspiracy
kunstránt	constraint
kunstrukšin	construction
kunstrukt	construct
kunsult	consult
kunsultint	consultant
kunsumpšin	consumption
kunsúm	consume
kunsúmør	consumer
kuntán	contain
kuntánør	container
kuntempøreré	contemporary
kuntend	contend
kuntent	content
kuntinéúd	continued
kuntinéú	continue
kuntinéúing	continuing
kuntinéúis	continuous
kuntré	country
kuntribéøtør	contributor
kuntribéút	contribute
kuntról	control
kunvá	convey
kunvenšin	convention
kunvenšinul	conventional
kunvénéins	convenience
kunvikšin	conviction
kunvins	convince
kunvinst	convinced
kunvørt	convert
kunvøržin	conversion
kupasité	capacity
kup	cup
kupul	couple
kusénó	casino
kustidé	custody
kustum	custom
kustumør	customer
kut	cut
kuvør	cover
kuvrij	coverage
kuzin	cousin
kúescinár	questionnaire
kúescin	question
kúest	quest
kúén	queen
kú	coup
kúik	quick
kúiklé	quickly
kúit	quit
kúíit	quiet
kúíitlé	quietly
kúít	quite
kúl	cool
kúolifí	qualify
kúolité	quality
kúontité	quantity
kúórtørbak	quarterback
kúórtør	quarter
kúót	quote
lab	lab
labritóré	laboratory
ladør	ladder
laf	laugh
laftør	laughter
lak	lack
lamp	lamp
land	land
landing	landing
landmork	landmark
landskáp	landscape
lap	lap
last	last
Latin	Latin
latør	latter
laúd	loud
lábør	labor
lábul	label
ládé	lady
lá	lay
lák	lake
lán	lane
lángúij	language
láør	layer
lásør	laser
lát	late
látlé	lately
látør	later
led	lead
ledhør	leather
left	left
leg	leg
legisé	legacy
lejind	legend
lejislácør	legislature
lejislášin	legislation
lejislátiv	legislative
lejislátør	legislator
lekšør	lecture
lemin	lemon
lend	lend
length	length
lenz	lens
les	less
lesin	lesson
let	let
letør	letter
levul	level
léd	lead
léding	leading
lédør	leader
lédøršip	leadership
léf	leaf
lég	league
légulé	legally
légul	legal
lén	lean
lép	leap
lést	least
lév	leave
libørté	liberty
libørul	liberal
lid	lid
lift	lift
lijitimit	legitimate
likúid	liquid
lim	limb
limitášin	limitation
limit	limit
limitid	limited
link	link
lip	lip
lisin	listen
lisinør	listener
list	list
litøreré	literary
litørucør	literature
litørulé	literally
litul	little
living	living
líbreré	library
líf	life
lí	lie
lífstíl	lifestyle
líftím	lifetime
líibilité	liability
líin	lion
lík	like
líklé	likely
líkléhød	likelihood
líkúíz	likewise
lín	line
lísinz	license
lít	light
líting	lighting
lítlé	lightly
lítning	lightning
lív	live
lívør	liver
lobé	lobby
lo	law
log	log
lojik	logic
lojikul	logical
lok	lock
lomákør	lawmaker
lonc	launch
londré	laundry
lon	lawn
long-tørm	long-term
long	long
longtím	longtime
lorj	large
lorjlé	largely
los	loss
lost	lost
losút	lawsuit
lot	lot
lots	lots
lód	load
lóéør	lawyer
lóéul	loyal
lóéulté	loyalty
ló	low
lókášin	location
lókát	locate
lókul	local
lón	loan
lónlé	lonely
lóúør	lower
løk	look
lørn	learn
lørning	learning
luké	lucky
luk	luck
lunc	lunch
lung	lung
luv	love
luvlé	lovely
luvør	lover
lúp	loop
lús	loose
lúz	lose
mac	match
mad	mad
magizén	magazine
magnetik	magnetic
magnitúd	magnitude
majik	magic
maksimum	maximum
mandát	mandate
manéøfakcøring	manufacturing
manéøfakcørør	manufacturer
manéúul	manual
man	man
manij	manage
manijing	managing
manijmint	management
manijør	manager
manør	manner
manšin	mansion
map	map
mas	mass
masiv	massive
mask	mask
mastør	master
matør	matter
math	math
mathmatiks	mathematics
maúnt	mount
maúntin	mountain
maús	mouse
maúth	mouth
mábé	maybe
má	may
májør	major
mák	make
mákør	maker
mákup	makeup
mál	mail
mál	male
mán	main
mánlé	mainly
mánstrém	mainstream
mántán	maintain
mántinins	maintenance
máør	mayor
mát	mate
medikášin	medication
medikul	medical
medisin	medicine
medul	medal
mekinism	mechanism
Meksikin	Mexican
melt	melt
membør	member
membøršip	membership
memøré	memory
mené	many
menéú	menu
menšin	mention
mentór	mentor
mentulé	mentally
mentul	mental
meréd	married
meré	marry
merij	marriage
merit	merit
mes	mess
mesij	message
metifór	metaphor
metrupolitin	metropolitan
metul	metal
methid	method
mežør	measure
mežørmint	measurement
médéu	media
médéum	medium
mé	me
mél	meal
mén	mean
méning	meaning
méningful	meaningful
méntím	meantime
ménúíl	meanwhile
ménz	means
mér	mere
mérikul	miracle
mérlé	merely
mét	meat
mét	meet
méting	meeting
métør	meter
méúcúul	mutual
méúnisipul	municipal
méúzéim	museum
méúzik	music
méúzikul	musical
méúzišin	musician
midnít	midnight
midst	midst
midul	middle
mikanik	mechanic
mikanikul	mechanical
mikscør	mixture
miks	mix
mikst	mixed
miléin	million
mil	mill
militeré	military
milk	milk
minimíz	minimize
minimul	minimal
minimum	minimum
minirul	mineral
ministør	minister
ministré	ministry
minit	minute
mirør	mirror
mis	miss
mising	missing
misták	mistake
mistéréis	mysterious
mistiré	mystery
misul	missile
mišineré	missionary
mišin	mission
mith	myth
mí	my
mígrášin	migration
míld	mild
mínd	mind
mín	mine
mínórité	minority
mínør	minor
míself	myself
mít	might
modifí	modify
modist	modest
modørit	moderate
modørn	modern
modul	model
mol	mall
molikéúl	molecule
mom	mom
monéømint	monument
monitør	monitor
monstør	monster
morbul	marble
morc	march
morjin	margin
mork	mark
morkit	market
morkiting	marketing
morkitplás	marketplace
morkør	marker
móbul	mobile
mód	mode
mómentum	momentum
mómint	moment
mór	more
mórgij	mortgage
mórning	morning
móróvør	moreover
mórtalité	mortality
mórul	moral
móst	most
móstlé	mostly
móšin	motion
mótivášin	motivation
mótivát	motivate
mótiv	motive
mótør	motor
mørcint	merchant
mørdør	murder
mørén	marine
muc	much
mud	mud
mujórité	majority
multipul	multiple
Mundá	Monday
muné	money
munipéølát	manipulate
munké	monkey
munth	month
munthlé	monthly
must	must
musul	muscle
mušén	machine
mušrúm	mushroom
mutériéul	material
mutør	mutter
muthør	mother
múd	mood
mún	moon
múvé	movie
múv	move
múvmint	movement
nacørulé	naturally
nacørul	natural
nasté	nasty
našinul	national
naú	now
nábør	neighbor
nábøring	neighboring
nábørhød	neighborhood
nácør	nature
nákid	naked
nál	nail
nám	name
nášin	nation
nášinúíd	nationwide
nátiv	native
návul	naval
negitiv	negative
nek	neck
nekst	next
neritiv	narrative
neró	narrow
nesiseré	necessary
nesiserilé	necessarily
nest	nest
net	net
netúørk	network
nevør-dhe-les	nevertheless
nevør	never
néd	need
nédul	needle
nédhør	neither
né	knee
nél	kneel
nérbí	nearby
nér	near
nérlé	nearly
nét	neat
nigóšéášin	negotiation
nigóšéát	negotiate
nisesité	necessity
níf	knife
nín	nine
nís	nice
nít	night
nítmár	nightmare
nod	nod
nok	knock
nolij	knowledge
nominášin	nomination
nominé	nominee
nonprofit	nonprofit
not	not
novul	novel
nóbudé	nobody
nó	know
nó	no
nóiz	noise
nón	known
nórdhørn	northern
nór	nor
nórm	norm
nórmulé	normally
nórmul	normal
nórthést	northeast
nórth	north
nórthúest	northwest
nóšin	notion
nótbøk	notebook
nót	note
nótis	notice
nóúer	nowhere
nóz	nose
nørs	nurse
nørv	nerve
nørvis	nervous
numbør	number
nun-dhe-les	nonetheless
nun	none
nut	nut
nuthing	nothing
nú	new
núklér	nuclear
núlé	newly
númøris	numerous
nún	noon
nútréint	nutrient
nútrul	neutral
núz	news
núzpápør	newspaper
obligášin	obligation
obstikul	obstacle
obvéis	obvious
obvéislé	obviously
obzørvášin	observation
odéins	audience
od	odd
odz	odds
o	ah
of	off
ofin	often
ofis	office
ofisør	officer
ofør	offer
oføring	offering
oful	awful
okéøpášin	occupation
okéøpí	occupy
oksijen	oxygen
okšin	auction
oldhó	although
ol	all
olmóst	almost
olredé	already
olsó	also
oltør	alter
oltørnitiv	alternative
oltugedhør	altogether
olúáz	always
Omerikin	American
on	on
ongóing	ongoing
onist	honest
onistlé	honestly
onlín	online
onør	honor
ont	aunt
ontrepenúr	entrepreneur
ontú	onto
onvelóp	envelope
opørášin	operation
opørát	operate
opøráting	operating
opørátør	operator
opørtúnité	opportunity
opru	opera
opšin	option
opt	opt
optimistik	optimistic
opuzišin	opposition
opuzit	opposite
orgéú	argue
orgéúmint	argument
orkitekšør	architecture
orkitekt	architect
ormd	armed
ormé	army
orm	arm
ort	art
ortifakt	artifact
ortifišul	artificial
ortikéølát	articulate
ortikul	article
ortist	artist
ortistik	artistic
ot	ought
otó	auto
otumatik	automatic
otumatiklé	automatically
otumubél	automobile
othør	author
othøríz	authorize
ó	oh
ó	owe
óil	oil
óká	okay
ók	oak
óld-fašind	old-fashioned
óld	old
ón	own
ónlé	only
ónør	owner
ónøršip	ownership
ópin	open
ópining	opening
ópinlé	openly
órbit	orbit
órdineré	ordinary
órdør	order
óréintášin	orientation
ór	or
órganik	organic
órgin	organ
órginism	organism
órginizášin	organization
órginizášinul	organizational
órginízd	organized
órginíz	organize
órijin	origin
órinj	orange
órul	oral
óšin	ocean
óvør	over
óvørkum	overcome
óvørløk	overlook
óvørnít	overnight
óvørol	overall
óvørsé	oversee
óvørúelm	overwhelm
óvørúelming	overwhelming
ørb	herb
ørbin	urban
ørj	urge
ørlé	early
ørn	earn
ørninks	earnings
ørth	earth
ørthkúák	earthquake
pac	patch
pad	pad
pak	pack
pakij	package
palis	palace
pan	pan
panik	panic
pants	pants
panul	panel
pas	pass
pasij	passage
pasing	passing
pasinjør	passenger
past	past
pašin	passion
pat	pat
patint	patent
patørn	pattern
path	path
paúdør	powder
paúnd	pound
paúør	power
paúørful	powerful
pá	pay
páj	page
pál	pale
pámint	payment
pán	pain
pánful	painful
pánt	paint
pánting	painting
pántør	painter
pápør	paper
pár	pair
pás	pace
pášins	patience
pášint	patient
pátrin	patron
pen	pen
pensul	pencil
penšin	pension
penulté	penalty
pepør	pepper
perint	parent
pesint	peasant
pet	pet
péanó	piano
pék	peak
pél	peel
pénut	peanut
pépul	people
péréid	period
pér	peer
pés	peace
pés	piece
pésful	peaceful
pétso	pizza
péúr	pure
pic	pitch
picør	pitcher
pig	pig
pik	pick
pikšør	picture
pikup	pickup
pil	pill
piló	pillow
pin	pin
pink	pink
pistul	pistol
pit	pit
pí	pie
píl	pile
pílit	pilot
pín	pine
píp	pipe
píunér	pioneer
PK	PC
plan	plan
planing	planning
planit	planet
planør	planner
plant	plant
plastik	plastic
platfórm	platform
plá	play
plán	plain
plán	plane
plántif	plaintiff
pláof	playoff
pláør	player
plás	place
plásmint	placement
plát	plate
plenté	plenty
plezint	pleasant
pležør	pleasure
pléd	plead
plé	plea
plézd	pleased
pléz	please
plot	plot
plunj	plunge
plus	plus
pokit	pocket
polisé	policy
politiks	politics
politišin	politician
polm	palm
pond	pond
popéølášin	population
popéølerité	popularity
popéølør	popular
pop	pop
pork	park
porking	parking
poršulé	partially
poršul	partial
porté	party
port	part
portikéølør	particular
portikéølørlé	particularly
portikul	particle
portisipášin	participation
portisipát	participate
portisipent	participant
portlé	partly
portnør	partner
portnøršip	partnership
posibilité	possibility
posiblé	possibly
posibul	possible
posto	pasta
pot	pot
povørté	poverty
poz	pause
pozitiv	positive
póint	point
pók	poke
pól	pole
pól	poll
pórc	porch
pór	poor
pór	pour
pórk	pork
póršin	portion
pórtfóléó	portfolio
pórt	port
pórtrá	portray
pórtrit	portrait
póst	post
póstør	poster
póum	poem
póúit	poet
póúitré	poetry
póz	pose
pørád	parade
pørcis	purchase
pørentul	parental
pørfikt	perfect
pørfiktlé	perfectly
pørfórm	perform
pørfórmins	performance
pørfórmør	performer
pør	per
pørminint	permanent
pørmišin	permission
pørmit	permit
pørpis	purpose
pørpul	purple
pørsentij	percentage
pørsepšin	perception
pørsévd	perceived
pørsév	perceive
pørs	purse
pørsinalité	personality
pørsinel	personnel
pørsin	person
pørsinulé	personally
pørsinul	personal
pørsist	persist
pørspektiv	perspective
pørsúád	persuade
pørsú	pursue
pørsút	pursuit
Pøržin	Persian
pørhaps	perhaps
pøš	push
pøt	put
praktiklé	practically
praktikul	practical
praktis	practice
praktišinør	practitioner
praúd	proud
prá	pray
prá	pray
prár	prayer
práz	praise
preditør	predator
prefrins	preference
pregninsé	pregnancy
pregnint	pregnant
premis	premise
prepørášin	preparation
pres	press
prešis	precious
prešør	pressure
prezidenšul	presidential
prezidinsé	presidency
prezidint	president
prezins	presence
prezintášin	presentation
préc	preach
préméum	premium
prést	priest
prévéis	previous
prévéislé	previously
pridikšin	prediction
pridikt	predict
prifør	prefer
prilimineré	preliminary
prinsipul	principal
prinsipul	principle
print	print
pripár	prepare
prisís	precise
prisíslé	precisely
priskripšin	prescription
pritend	pretend
prité	pretty
privál	prevail
privenšin	prevention
privent	prevent
privlij	privilege
prizent	present
prizent	present
prizin	prison
prizinør	prisoner
prizørv	preserve
prizúmublé	presumably
príd	pride
prímeré	primary
prímerilé	primarily
prím	prime
príórité	priority
príør	prior
prís	price
prívisé	privacy
prívit	private
prívitlé	privately
príz	prize
problum	problem
probublé	probably
produkt	product
produktivité	productivity
profit	profit
progres	progress
projekt	project
prominint	prominent
promis	promise
promising	promising
prompt	prompt
propør	proper
propørlé	properly
propørté	property
proses	process
prosesing	processing
prosesør	processor
prosikéúšin	prosecution
prosikéútør	prosecutor
prospekt	prospect
provins	province
pródús	produce
prófaúnd	profound
prófíl	profile
prógram	program
prógraming	programming
próklám	proclaim
prótest	protest
prótén	protein
prótikul	protocol
próhibit	prohibit
prudukšin	production
pruduktiv	productive
prudús	produce
prudúsør	producer
prufesør	professor
prufešin	profession
prufešinul	professional
prugres	progress
prugresiv	progressive
prujekšin	projection
prujekt	project
prumóšin	promotion
prumót	promote
prupóršin	proportion
prupózd	proposed
prupóz	propose
prupózul	proposal
pruséd	proceed
pruséjør	procedure
prutekšin	protection
prutekt	protect
prutektiv	protective
pruvižin	provision
pruvíd	provide
pruvídid	provided
pruvídør	provider
pruvók	provoke
prúf	proof
prúv	prove
publikášin	publication
publik	public
publiklé	publicly
publisité	publicity
publiš	publish
publišør	publisher
pulés	police
pulésmin	policeman
pul	pull
pulitiklé	politically
pulitikul	political
puls	pulse
pulúšin	pollution
pump	pump
punc	punch
puniš	punish
punišmint	punishment
putátó	potato
putenšulé	potentially
putenšul	potential
putról	patrol
puzes	possess
puzešin	possession
puzišin	position
puzul	puzzle
púl	pool
rabit	rabbit
radikul	radical
radhør	rather
rak	rack
ralé	rally
ranc	ranch
randum	random
rap	wrap
rapid	rapid
rapidlé	rapidly
rašinul	rational
rat	rat
raúnd	round
raút	route
rádéášin	radiation
rádéó	radio
rádor	radar
ráj	rage
rál	rail
rálród	railroad
rán	rain
ránj	range
ránk	rank
ráp	rape
rás	race
rásizm	racism
rášéó	ratio
rášul	racial
rát	rate
ráting	rating
ráz	raise
rebul	rebel
redé	ready
red	red
redilé	readily
reféújé	refugee
reféúj	refuge
reførens	reference
regéølášin	regulation
regéølát	regulate
regéølátør	regulator
regéølør	regular
regéølørlé	regularly
regéølutóré	regulatory
rejistør	register
rekørd	record
rekugnišin	recognition
rekugníz	recognize
rekumend	recommend
rekumindášin	recommendation
relitiv	relative
relitivlé	relatively
relivint	relevant
relm	realm
rendør	render
rent	rent
rentul	rental
repéøtášin	reputation
reprizent	represent
reprizentitiv	representative
reprizintášin	representation
rer	rare
rerlé	rarely
resipé	recipe
reskéú	rescue
rest	rest
restront	restaurant
retørik	rhetoric
revenú	revenue
revulášin	revelation
revulúšineré	revolutionary
revulúšin	revolution
rezidens	residence
rezidenšul	residential
rezident	resident
rezilúšin	resolution
rezørvášin	reservation
rezumá	resume
réakšin	reaction
réakt	react
réalité	reality
rébild	rebuild
réc	reach
réd	read
réding	reading
rédør	reader
réinfórs	reinforce
réjekt	reject
réjin	region
réjinul	regional
rékol	recall
rél	real
réølistik	realistic
réølíz	realize
rér	rear
résint	recent
résintlé	recently
résórs	resource
résørc	research
résørcør	researcher
rétál	retail
rétálør	retailer
rézin	reason
rézinibul	reasonable
réhubilitášin	rehabilitation
rib	rib
ribin	ribbon
ric	rich
ricúul	ritual
rid	rid
ridikéølis	ridiculous
ridthm	rhythm
ridukšin	reduction
ridús	reduce
riféúz	refuse
riflekšin	reflection
riflekt	reflect
rifórm	reform
rifør	refer
rifrijørátør	refrigerator
rigán	regain
rigord	regard
rigording	regarding
rigordlis	regardless
rigret	regret
rij	ridge
rikol	recall
rikórd	record
rikórding	recording
rikrút	recruit
rikuvøré	recovery
rikuvør	recover
rikúest	request
rikúírd	required
rikúír	require
rikúírmint	requirement
rilaks	relax
rilášin	relation
rilášinšip	relationship
rilát	relate
rilátid	related
riléf	relief
rilé	really
rilés	release
rilév	relieve
rilijin	religion
rilijis	religious
rilí	rely
rilíibilité	reliability
rilíibul	reliable
riluktint	reluctant
rimán	remain
rimáning	remaining
rimembør	remember
rim	rim
rimínd	remind
rimíndør	reminder
rimork	remark
rimorkubul	remarkable
rimót	remote
rimúv	remove
rimúvul	removal
ring	ring
ripár	repair
ripét	repeat
ripétidlé	repeatedly
rip	rip
riplás	replace
riplásmint	replacement
riplí	reply
ripórt	report
ripórtidlé	reportedly
ripórting	reporting
ripórtør	reporter
ripublik	republic
ripublikin	republican
risepšin	reception
risešin	recession
risév	receive
risévør	receiver
risipéint	recipient
riské	risky
risk	risk
rispekt	respect
rispektivlé	respectively
rispond	respond
rispondint	respondent
rispons	response
risponsibilité	responsibility
risponsibul	responsible
rist	wrist
ristór	restore
ristrikšin	restriction
ristrikt	restrict
ritán	retain
ritin	written
ritírd	retired
ritír	retire
ritírmint	retirement
ritørn	return
ritrét	retreat
riúórd	reward
rivél	reveal
rivéú	review
rivør	river
rivørs	reverse
rizembul	resemble
rizist	resist
rizistins	resistance
rizín	resign
rizolv	resolve
rizórt	resort
rizørv	reserve
rizult	result
rizúm	resume
rižém	regime
ríd	ride
rídør	rider
ríful	rifle
ríit	riot
rís	rice
rít	right
rít	write
ríting	writing
rítør	writer
rívul	rival
ríz	rise
rod	rod
ro	raw
rok	rock
rokit	rocket
rong	wrong
róbot	robot
ród	road
róéul	royal
ró	row
ról	role
ról	roll
róling	rolling
rómans	romance
rómantik	romantic
Rómin	Roman
róp	rope
róz	rose
røf	roof
rørul	rural
rub	rub
rubør	rubber
ruf	rough
ruflé	roughly
run	run
runing	running
runør	runner
ruš	rush
Rušin	Russian
rúf	roof
rúin	ruin
rúl	rule
rúling	ruling
rúm	room
rúmør	rumor
rútén	routine
rúténlé	routinely
rút	root
rút	route
sad	sad
sak	sack
sakrifís	sacrifice
salid	salad
saløré	salary
samin	salmon
sampul	sample
sand	sand
sandúic	sandwich
satisfakšin	satisfaction
satisfí	satisfy
Satørdá	Saturday
satulít	satellite
saúnd	sound
saúthést	southeast
saúth	south
saúthúest	southwest
sáf	safe
sáflé	safely
sá	say
sáfté	safety
sák	sake
sákrid	sacred
sál	sail
sál	sale
sálz	sales
sám	same
sánkšin	sanction
sáv	save
sáving	saving
segmint	segment
sekéølør	secular
sekéør	secure
sekéørité	security
sekind	second
sekriteré	secretary
sekšin	section
sektør	sector
sekunderé	secondary
seldum	seldom
self-estém	self-esteem
sel	cell
self	self
sel	sell
selør	seller
selubrášin	celebration
selubrát	celebrate
seminor	seminar
semiteré	cemetery
sencøré	century
send	send
Senit	Senate
senitór	senator
sensášin	sensation
sens	sense
sensitiv	sensitive
sensitivité	sensitivity
sensør	sensor
sent	scent
sentimint	sentiment
sentins	sentence
sentør	center
sentrul	central
sepirát	separate
sepirit	separate
sepørášin	separation
serumóné	ceremony
sešin	session
set	set
seting	setting
setul	settle
setulmint	settlement
sevér	severe
sevin	seven
sevinth	seventh
sevørul	several
séd	seed
sé	sea
sé	see
sék	seek
sékrit	secret
sékúins	sequence
sél	seal
séling	ceiling
sém	seem
séminglé	seemingly
sénéør	senior
sén	scene
sés	cease
sét	seat
séz	seize
sézin	season
sfér	sphere
sibling	sibling
sicúášin	situation
signicør	signature
signifikins	significance
signifikint	significant
signifikintlé	significantly
signul	signal
sigøret	cigarette
sik	sick
siks	six
siksth	sixth
silebrité	celebrity
silekšin	selection
silekt	select
silé	silly
silk	silk
silvør	silver
simbolik	symbolic
simbul	symbol
similerité	similarity
similør	similar
similørlé	similarly
simpithé	sympathy
simplé	simply
simptum	symptom
simpul	simple
sindróm	syndrome
sineréó	scenario
sin	sin
sing	sing
singør	singer
singul	single
sink	sink
sins	since
siréis	serious
siréislé	seriously
siréz	series
sistør	sister
sistum	system
sité	city
sit	sit
sitizin	citizen
sitizinšip	citizenship
sivérlé	severely
sivik	civic
siviléin	civilian
sivilizášin	civilization
sivul	civil
síd	side
sídúok	sidewalk
sí	sigh
síins	science
síintifik	scientific
síintist	scientist
síkolijé	psychology
síkolijist	psychologist
síkul	cycle
síkulojikul	psychological
sílins	silence
sílint	silent
símultánéøslé	simultaneously
sín	sign
sít	cite
sít	sight
sít	site
síz	size
skandul	scandal
skan	scan
skatør	scatter
skál	scale
skárd	scared
skejul	schedule
skeré	scary
sker	scare
ské	ski
ském	scheme
skild	skilled
skil	skill
skin	skin
skip	skip
skí	sky
skolør	scholar
skoløršip	scholarship
skóp	scope
skór	score
skørt	skirt
skrac	scratch
skrambul	scramble
skrém	scream
skrén	screen
skréning	screening
skript	script
skrú	screw
skul	skull
skulpcør	sculpture
skúer	square
skúéz	squeeze
skúl	school
skúod	squad
slam	slam
slap	slap
sláv	slave
slávøré	slavery
slép	sleep
slév	sleeve
slip	slip
slíd	slide
slís	slice
slít	slight
slítlé	slightly
slot	slot
sló	slow
slólé	slowly
slóp	slope
smel	smell
smíl	smile
smol	small
smort	smart
smók	smoke
smúdh	smooth
snap	snap
snák	snake
snék	sneak
snó	snow
sofin	soften
soft	soft
softlé	softly
softúer	software
sok	sock
sokør	soccer
solid	solid
solt	salt
solv	solve
song	song
soré	sorry
sos	sauce
sovrinté	sovereignty
só-kold	so-called
sódéim	sodium
só	so
sófu	sofa
sóil	soil
sók	soak
sól	sole
sól	soul
sóljør	soldier
sóllé	solely
sólør	solar
sóp	soap
sórd	sword
sór	soar
sórs	source
sórt	sort
sóšulé	socially
sóšul	social
Sóvéit	Soviet
søraúnd	surround
søraúnding	surrounding
sørc	search
sørfis	surface
sør	sir
sørjin	surgeon
sørjøré	surgery
sørkit	circuit
sørkul	circle
sørkumstans	circumstance
sørtin	certain
sørtinlé	certainly
sørvá	survey
sørválins	surveillance
sørv	serve
sørving	serving
sørvint	servant
sørvis	service
sørvív	survive
sørvívør	survivor
sørvívul	survival
Spaniš	Spanish
spaús	spouse
spár	spare
spás	space
spekéølášin	speculation
spekéølát	speculate
spektakéølør	spectacular
spektrum	spectrum
spel	spell
spend	spend
spending	spending
spesifik	specific
spesifiklé	specifically
spesifí	specify
spešul	special
spešulist	specialist
spešulíz	specialize
spešulté	specialty
spéc	speech
spéd	speed
spék	speak
spékør	speaker
spéšéz	species
spil	spill
spin	spin
spiricúul	spiritual
spirit	spirit
spit	spit
spí	spy
spín	spine
spít	spite
split	split
sponsør	sponsor
spork	spark
spot	spot
spóksmin	spokesman
spórt	sport
sprá	spray
spred	spread
spring	spring
sprinkul	sprinkle
spún	spoon
stacéú	statue
stacéút	statute
stadéum	stadium
staf	staff
stak	stack
stand	stand
standing	standing
standørd	standard
stans	stance
statis	status
stábul	stable
stá	stay
stáj	stage
sták	stake
sták	steak
stár	stare
stášin	station
stát	state
státmint	statement
stedé	steady
stedilé	steadily
stem	stem
step	step
steréótíp	stereotype
ster	stair
stél	steal
stél	steel
stém	steam
stép	steep
stér	steer
stif	stiff
stik	stick
stil	still
stiméølát	stimulate
stiméølis	stimulus
stíl	style
stok	stock
stop	stop
stor	star
stort	start
storting	starting
stortør	starter
stón	stone
stóré	story
stór	store
stórij	storage
stórm	storm
stóv	stove
stør	stir
stratijé	strategy
strán	strain
stránj	strange
stránjør	stranger
strát	straight
strátin	straighten
strec	stretch
strength	strength
strengthin	strengthen
stres	stress
strék	streak
strém	stream
strét	street
strikt	strict
striktlé	strictly
string	string
strip	strip
strík	strike
stríking	striking
stro	straw
strong	strong
stronglé	strongly
strók	stroke
strugul	struggle
strukšør	structure
strukšørul	structural
strutéjik	strategic
stubilité	stability
studé	study
stuf	stuff
stumbul	stumble
stumik	stomach
stutistiks	statistics
stutistikul	statistical
stúdéó	studio
stúdint	student
stúpid	stupid
subjekt	subject
submit	submit
subørb	suburb
subørbin	suburban
subsidé	subsidy
subsikúint	subsequent
substanšulé	substantially
substanšul	substantial
substins	substance
suc	such
sudin	sudden
sudinlé	suddenly
sudhørn	southern
sufistikátid	sophisticated
sufišint	sufficient
sufør	suffer
suføring	suffering
sugjescin	suggestion
sugjest	suggest
suk	suck
sukses	success
suksesfulé	successfully
suksesful	successful
sukséd	succeed
sulektid	selected
sulúšin	solution
sumbudé	somebody
sumdá	someday
sum	some
sum	sum
sumit	summit
sumøré	summary
sumør	summer
sumtím	sometime
sumtímz	sometimes
sumthing	something
sumúer	somewhere
sumúun	someone
sumúut	somewhat
sumhaú	somehow
Sundá	Sunday
suné	sunny
sun	son
sun	sun
sunlít	sunlight
suplí	supply
suplíør	supplier
supórt	support
supórtiv	supportive
supórtør	supporter
supózd	supposed
supóz	suppose
supózidlé	supposedly
suprízd	surprised
supríz	surprise
suprízing	surprising
suprízinglé	surprisingly
susíité	society
suspekt	suspect
suspend	suspend
suspišin	suspicion
suspišis	suspicious
sustán	sustain
sustánibul	sustainable
sutul	subtle
súel	swell
súer	swear
súet	sweat
súetør	sweater
súép	sweep
súét	suite
súét	sweet
sú	sue
súic	switch
súim	swim
súiming	swimming
súing	swing
súisíd	suicide
sún	soon
súoló	swallow
súpéréør	superior
súp	soup
súpør	super
súpørmorkit	supermarket
súpørvízør	supervisor
súprém	Supreme
sút	suit
sútibul	suitable
šadó	shadow
šal	shall
šaló	shallow
šaúør	shower
šaút	shout
šád	shade
šák	shake
šám	shame
šáp	shape
šed	shed
šef	chef
šelf	shelf
šel	shell
šeltør	shelter
šerd	shared
šer	share
šerhóldør	shareholder
šé	she
šép	sheep
šér	sheer
šét	sheet
šift	shift
šip	ship
šit	shit
ší	shy
šín	shine
šok	shock
šop	shop
šoping	shopping
šork	shark
šorp	sharp
šorplé	sharply
šot	shot
šó	show
šóldør	shoulder
šór	shore
šórt-tørm	short-term
šórt	short
šórtij	shortage
šórtlé	shortly
šórts	shorts
šød	should
šøgør	sugar
šør	sure
šørlé	surely
šørt	shirt
šrimp	shrimp
šrink	shrink
šrug	shrug
šut	shut
šutul	shuttle
šuv	shove
šú	shoe
šút	shoot
šúting	shooting
T-šørt	T-shirt
tag	tag
taks	tax
takspáør	taxpayer
taktik	tactic
takul	tackle
talentid	talented
talint	talent
tap	tap
task	task
taúl	towel
taún	town
taúør	tower
tábul	table
tábulspún	tablespoon
ták	take
tál	tail
tál	tale
tánk	tank
táp	tape
tást	taste
teknék	technique
teknikul	technical
teknilojikul	technological
teknišin	technician
teknolijé	technology
tekscør	texture
